inputs,summaries
"So neither my iPhone nor my Apple Watch are recording my stepsactivity, and Health doesnt recognise either source anymore for some reason. Any ideas? <LINK> <BR> AppleSupport please read the above. <BR> Lets investigate this together. To start, can you tell us the software versions your iPhone and Apple Watch are running currently? <BR> AppleSupport My iPhone is on 11.1.2, and my watch is on 4.1. <BR> Thank you. Have you tried restarting both devices since this started happening? <BR> AppleSupport Ive restarted both, also unpaired then repaired the watch. <BR> Got it. When did you first notice that the two devices were not talking to each other. Do the two devices communicate through other apps such as Messages? <BR> AppleSupport Yes, everything seems fine, its just Health and activity. <BR> Lets move to DM and look into this a bit more. When reaching out in DM, let us know when this first started happening please. For example, did it start after an update or after installing a certain app? <LINK> <BR>",Customer enquired about his Iphone and Apple watch which is not showing his any steps/activity and health activities. Agent is asking to move to DM and look into it.
"AskAmex Where do I write to address a customer service issue to higher management? <BR> Hi Chris. Which U.S. based card is this concerning? Please do not release any personal or card information. Clarissa <BR> Hi I never heard back from you. Let me know if I can assist. All the best. Clarissa <BR> AskAmex It was the Delta sky miles card. <BR> Good Morning. What is this concerning and I may be able to help? RK <BR> AskAmex Signed up for new card with Delta to book immediately book tix. Card number didnt come up. Customer svce refused to help. <BR> Good morning, thanks for reaching out. Please call our New Accounts Team at 8773993086, for assistance. Theyre available, <BR> Monday Friday 800 AM to 1200 AM ET Saturday 1000 AM to 600 PM ET. Sorry for the inconvenience.In <BR>",Signed up for an AmexCard with Delta but it didn't go through. Told to phone the new accounts team.
"AmazonHelp Wow, expected 4 packages yesterday, but only 2 showed up. 50 failure ratenot impressed. Glad I paid for fast shipping. <BR> AmazonHelp Last month driver delivered box, sat in van for 10 min on phone, and drove off. Then got notice that package was lost in transit. <BR> Im sorry you only received two of the orders. Is this happening with the same carrier each time? We can see what options are available for the lost items, reach us by phone or chat here <LINK> MG <BR> AmazonHelp Problems are mostly with AMZL US delivery, but this time its UPS. UPS is usually pretty good. <BR> AmazonHelp Also, the item isnt lost. I watched them deliver it. Status still says lost in transit, though. No big deal, but it makes Amzn look silly <BR> Okay, thanks for that info, Dave. Have you received any updates via email for the last two packages you were expecting? Let us know. Wed like to help in any way we can! SM <BR> AmazonHelp Got shipping refunded via chat, and packages will be here when they get here. Thanks for letting me vent. <BR> Keep us posted, Dave! SM <BR>",The customer have a problem. The agent is very cordial and offers to follow up on the case.
"GWRHelp Id rather you spent some time making your app amp website work properly rather than spending millions on pointless new advertising. <BR> Hi. We are in the middle of huge 7.5bn investment with new trains due soon. Its important to tell this story to as many people as possible <BR> GWRHelp This is what comes up no matter what I do on your website after the homepage. 247 for 5 days. <LINK> <BR> Hi Drayton. The websites been working. Have you tried clearing your cache or using a different browser? Lewis <BR> GWRHelp Tried to buy a ticket 6 times in half an hour. Every time greeted with this. Not even 30 seconds between choosing a ticket and signing in. <LINK> <BR> Sorry to see this Drayton. To confirm, is this on the app or mobile site? Phil. <BR> GWRHelp Literally irrelevant if ppl cant buy tix for the new trains. Ive never hated a website so much that I physically dread having 2 use it. <BR> GWRHelp App. I havent been able to purchase a ticket since your insane revamp. It worked perfectly before and now its an absolute shtshow. <BR> Sorry for the difficulty youve had, can you try unreinstalling and booking again? Phil. <BR> GWRHelp Believe me Phil Ive tried every trick in the book. Off and on again in all sense of the word. <BR> Sorry to see this Ill report to our Development team. Can you use mobile or desktop site in the meantime? Phil. <BR> GWRHelp No Phil, am going to get the bus instead app works flawlessly. <BR> Apologies again for the difficulty youve had today Drayton, I appreciate this is frustrating. Phil. <BR>",Customer cannot purchase a train ticket on the rail providers site since the revamp. Will report the issue to the development team.
" AirAsiaSupport doesnt seem like a customers timemoney is of value to you! just because you are a lowcost carrier!? Nvr again! ! <BR> Sorry for the delay, Saim. Flight Change is subject to Change Fee per personper flight at <LINK> plus gtgt <BR> gtgtFare Difference, so you only have to pay for those. If you think its cheaper to make a new booking, you may consider so.Floi <BR> AirAsiaSupport bt how can the rescheduling charges be more than the ticket charges. <BR> Really sorry as flight change is subject to change fee fare difference accordingly.Thanks Ed <BR> AirAsiaSupport i will go ahead with fresh booking bt will u move my baggage n food to the new pnr? <BR> Hi Saim , We are sorry as the add ons cannot be transferred to another booking. Thanks Khairul <BR> AirAsiaSupport never seen somebody sooo least bothered about customer. feel cheated. and feel robbed. <BR> AirAsiaSupport did nt expect this from such a reputed airlines. cheated robbed <BR> Terribly sorry for the inconvenience but if you make a flight change, the baggage will be transfered to your new flight. However, <BR> if you make a new booking, it can not be transferred since it is a totally different booking. Yana <BR> AirAsiaSupport as a basic courtesy and for customer satisfaction u can take so little of efforts. remember a satisfied customer is a best marketing <BR> AirAsiaSupport its a request plz support <BR> Really sorry Saim, but theyre nontransferable and nonrefundable. We just have to be fair to all of our guests gtgt <BR> gtgthence Ticket rules apply. However, you may opt for Tax refund in case of No Show. Thanks for your patience. Floi <BR>",The client is visibly upset with the service. The agent cannot help the customer.
"I dont know what Tesco have done to their website, but its crawling and crashing on my machine with 16 cores and 24 GB RAM. <BR> Tesco So the problem appears to be that Firefox is running at 100 CPU for the Tesco website tab. This is suboptimal. <BR> Hi Iain, I would like to log your feedback for our IT team, could you please DM your full name, address and postcode? Thanks Dani <BR> Tesco Nice try, but you wont be stealing my identity today. Using FF 52.4.0 64bitLinux and heres my stats with only Tesco groceries open <LINK> <BR> Hi Iain, Im afraid without those details we couldnt log your feedback. Peter <BR> Tesco Have you considered that your feedback logging mechanism is broken? The problem is in the website, not in me. <BR> Hi Iain, we are aware of some issues with our website that we are currently working on. Ive logged your feedback anonymously. Thanks Emma <BR> Tesco Thanks. Theres probably a middle ground between full name, address and postcode and complete anonymity, but this will do. <BR> Tesco If it is helpful to your website team, Im happy to try things out. Contact details at <LINK> <BR> Hi Iain, without completing data protection, were unable to log this against your account or check for account errors. TY Kelly. <BR>",Tesco's website is badly set up and crashing a person's computer. The agent asks for intrusive personal details to log the problem which the customer refuses to provide  so the agent does not do anything helpful at all.
"USCellularCares when is thrtr going to be an android update last one was April? <BR> Hi there! Which phone do you have? KJ <BR> USCellularCares Galaxy s7 on android 7 <BR> The current android version for the Galaxy S7 is 7.0.0 and the base band version is G930R4TYU4BQE1. Is that what you have? KJ <BR> USCellularCares Yes but why is it still on April when there is a September from samsung <BR> This is the most recent version we have available. KJ <BR> USCellularCares Why not contact about getting the next few security updates <BR> I have contacted Samsung and the current version is the most recent available for this phone at this time. KJ <BR> USCellularCares So is there will not be anymore updates for a 1 12 old phone? <BR> We dont have any information on future updates. KJ <BR> USCellularCares Is there any plans to release security updates for this phone? <BR> USCellularCares Why not just let Samsung do a direct to consumer update if you arent going to secure customers phones? <BR> Samsung has advised that there are no additional updates available. You may contact the manufacturer directly for more information. KJ <BR> USCellularCares So current customers are not getting may,june,july,august,September security updates while on your network? <BR> Bob, once Samsung shares the updates with us, we will then share them with customers. AW <BR> USCellularCares So why havent you pushed Samsung for maysept security updates? <BR> We dont have any information on future updates. KJ <BR>",Customer is enquiry about the latest android version of samsung. Agent inform that they will going to update once samsung updates.
"XboxSupport can anyone help me the last system I used was Nintendo I have a silly question about purchasing a digital game <BR> Hi! Lets have you follow us, DM us your Gamertag, and some more info about what youre seeing <LINK> BL <BR> XboxSupport I dont know what a game tag is. My question is I want to buy on Amazon a game for Xbox one for some1 without Xbox live. Can I? <BR> XboxSupport Like can I purchaseuse a digital Xbox one game off Amazon without Xbox live membership. There person does have internet access <BR> Gotcha. Some game titles do require an active internet connection in order to install updates, however, if they put 12 JA <BR> their console into offline mode <LINK> then they should be able to launch this content. 22 JA <BR> XboxSupport That didnt answer my question. If I buy a digital code of Forza horizon 3 from Amazon do I need Xbox live membership to install amp keep game <BR> XboxSupport Basically do u need Xbox live membership to purchaseinstallowncontinually use a digital game purchase <BR> If you purchase a digital game, you would not need an Xbox Live Gold subscription to keep it <LINK> EZ <BR> XboxSupport Thank you. Im sorry. I know nothing about this amp was only about to buy a digital copy. BehindTheTimes <BR>",Customer is asking whether he needs to install Xbox live membership if he buy a digital code. Agent updated that there is no need of Xbox live gold subscription if they purchase a digital game.
"AmazonHelp ok, I need to change the shipping address on some shipments, I just realized theyre going to the wrong place. <BR> If the order hasnt entered the shipping process then you can edit the <LINK> KM <BR> AmazonHelp I successfully did it with 2 items, but someone named murfbooks is being difficult. I told them I wanted a refund if they wont cooperate. <BR> Hi, glad to hear you were able to do this for both items. Have they submitted the refund ? CR <BR> AmazonHelp No. I only put in the initial order an hour ago. They were quick to respond the first time, but now have not replied for about 15 minutes. <BR> Ah okay Has the order been marked as shipped? NV <BR> AmazonHelp I am not sure. It says edit order, but it wont let me cuz its 3rd party. <LINK> <BR> Please allow the seller a bit longer to respond. AT <BR>","Customer wants to change address ordered items are shipped to, and it only updated for 2 out of 3 items. The third items is with a seller on the site who will need a bit longer to respond and do the update."
" how do I make a complaint? You lot are shit <BR> Could you please DM us with more information with regards to your complaint. Zeeshan <BR> ArgosHelpers Can u reply? <BR> Hiya Ethan, I am sorry to see that you want to make a complaint, we can take the complaint on here, are you able to provide the details and any order number <BR> name and address including postcode if there was an order via a DM please? Thanks LJ <BR> ArgosHelpers Gonna reply? <BR> Hiya I am just wondering if you saw my response? Thanks LJ <BR> ArgosHelpers Dm <BR>",The customer has a big problem and is visibly upset about it. The agent tries to handle the situation in the most professional way possible.
" AskeBay I need help! ! <BR> Id be happy to help! What are you needing assistance with? M <BR> AskeBay My sisters account has been locked as it has been linked to an account with a negative balance though this is not possible! ! <BR> Wed be happy to look into it further. Have your sister call in or reach out to us here or on Facebook. M <BR> AskeBay She dont have twitter and your call centers have been ABSOLUTELY useless <BR> Calling in will be the fastest way to resolve any issues or if she has a Facebook acct she can reach out to us there. Thanks! M <BR> AskeBay Called in 4 times now with no resolve this is ABSOLUTELY disgusting <BR> 22 Facebook by visiting <LINK> or she can email us at email. Well be happy to talk with her. CR <BR> Sorry to hear youre still having trouble. We wont be able to discuss your sisters account, but she can also contact us on 12 <BR> AskeBay Ill have her email <BR>",The customer have a big problem. The agent tried to solve the problem and offers choices to the customer.
"AmericanAir cancelled flight last night and now delayed flight tonight in CLT. Plane is gate and still delayed. keepingtothebadservicerecord <BR> That sure isnt the record we want to have with you. Were showing an estimated departure time of 825p. <BR> AmericanAir Its now 805 pm and not boarded. Highly doubt 825 pm departure. No announcements at gate in CLT. Really bad service! ! <BR> It appears our crew has been delayed on an incoming flight. Thanks for your patience. We should have an update soon. <BR> AmericanAir Negative. There was a crew on board that was taken of by Charlotte Police! This is really, really bad. Never before have I seen a cop take a crew off a plane! ! <BR> AmericanAir So as I learned the original crew got into a fight with the cleaning crew. The flight required a police report. This, ur crew delayed a whole flight over an issue that likely wasnt an issue. bad <BR> AmericanAir Now they will start to board the flight! Almost 1 hour delayed on boarding due to American Airline employee problems. Over 20 years of flying this is a first. terribleservice <BR> We see that youre now boarding with an estimated departure of 910p. Our apologies for the disruptions to your travels this evening. <BR> AmericanAir Never heard of a crew getting into a fight with the cleaning crew that required a police report. Cops taking flight crew off the plane. Cant wait to see this hit the news wires with the video! 138 passengers impacted by a controllable issue not handled well by American! <BR>","Flight delayed due to crew fighting, the company not keeping customers updated with expected departure time. Provides an estimated departure time but only as the customer is boarding so would have that information already."
"Hey! Amazon pantry order was late by 7 days so i cancelled it, but i m still being asked 2 wait 4 refund. Can u help? AmazonHelp <BR> Apologies for the unpleasant experience. Kindly share your details here <LINK> and Ill contact you. GS <BR> AmazonHelp There were 2 separate orders 40819297298238743 and 40807140607645942. Both were Delayed. i have added my details as suggested <BR> Thanks. Well check and revert at the earliest. HK <BR> Also, please dont provide your orderaccount details as we consider them to be personal information. HK <BR> AmazonHelp Ok Sure ! <BR> AmazonHelp Guys any update on this ! <BR> Were working on your details, well reach out to you soon with an update. SG <BR> AmazonHelp Hi Thank you for the refund! i got it last night. Still, i got delivery of one of the product. You can take it whenever u want 2 <BR> AmazonHelp let me know if you want more details on this ! ! <BR> As you have already provided your details, our team will look into it and will reach out to you for any further updates. GU <BR>",Amazon pantry order was delayed by 7 days but refund is being held up. Looking into the problem.
 purchased prime membership by adding gift card to pay balance . Will i eligible for rs. 250 cashback. Contact 9899955881 <BR> We would like to investigate this further. Could you let us know the date of purchase of the Prime membership? VM <BR> AmazonHelp 24th Oct . You can check this in my account details 24th oct 2017 . Please tell me whether I am eligible for Rs. 250 cashback. <BR> Kindly contact our team here <LINK> and well check. GK <BR> AmazonHelp already contacted but confusion remains the same thats why asking you people to call me who is expert on this on 9899955881 <BR> Kindly share your details here <LINK> and Ill look into this. SG <BR> AmazonHelp Are you callin me for this ? Please call me for more clarification on 9899955881 <BR> Wee cant access your account details over Twitter. Kindly share the same over the secure link we shared. 12CB <BR> Please dont provide your order details as we consider it personal info. Our twitter page is visible to public. 22CB <BR>,Customer bought prime membership with a gift card and wants to know if he is eligible for the cashback offer. Offers a link to a secure place to look into this issue.
"Tesco absolutely appalled by the fact that Tesco dont believe that 90 girls shoes and 10 boys is not sexism! Are boys not entitled to dry warm feet same as girls? If not why not? ! <BR> Hi Lucinda, Im sorry you feel this has been represented and for any upset this has caused. 12 <BR> Can you please DM your name, email address and local store so I can log your feedback? Ty Marian 22 <BR> Tesco the manager said it was an HQ issue not store so please explain?! Everything from the brown shoes on the left to the far right are girls. Please explain why? Boys need to wear shoes too! <LINK> <BR> I apologise if this looks in any way prejudiced but I assure you we are just trying to do the best for our customers. Thanks, Calum 22 <BR> Hi Lucinda. Im sorry you feel this way, I appreciate your frustration. We flex our space, and range, to support customer needs and perennial trends. We manage stock to each store to ensure we are giving a balanced offer. 12 <BR> Tesco So youre saying girls needed a choice of over 10 boots amp 8 trainers and 10 shoes boys only need one pair of boots and no shoes or trainers? Because thats what your advertising. It is sexism amp appalling of you to do this! Boys require clothes amp choice just as much as girls! <BR> Tesco It in no way is balanced! Please provide me details to take this issue further? I cannot believe your bias to girls over boys. No explanation other than your wish for ! No thought to customers at all! 50 of kids are boys STOP DISCRIMINATING on sex! <BR> Tesco Hmm Tesco claiming 1 choice of trainer amp boot for boys is balanced against over 10 choices of each for girls! How is that not discrimination and sexism? Boys not allowed choice cause theyre boys?! <LINK> <BR> Hi Lucinda. I assure you this is not discriminating. There is just a much higher demand for female footwear than male footwear in our stores. 13 <BR> Due to this big difference in demand we offer more female footwear as that is what our customers are more interested in investing in. 23 <BR> This decision is down to our customers choices, and we try to change and improve to our customers needs and wants. Thanks, Calum 33 <BR> Tesco You offer one pair to boys! There was more choice in mens then there was for boys! Trying going and looking before tweeting in ignorance! You obviously do not care for children who are boys or you would sort this. Nearly every mum in childrens clothing said the same. <BR> Tesco If you listened to your actual customers it would be amazing 17 mums there all agreed. 4 were mums only if girls amp also thought it was unbelievable and you still havent provided me of details to take this further! <BR> Tesco Until you give us this option how are we suppose to show you. You refuse to listen to your customers choices and are dictating to society what you think not giving us the option to choose for ourselves! Do you just buy the first amp only shoes you see or do you look at options? ! <BR>",Customer is visibly frustrated at not getting enough variety. The agent tries to deal with the client in the best way.
"Dear 115714, your website is very jacked at the moment. Just thought you might want to know. <BR> Hey, thank you for bringing this up to our attention. What seems to be the issue? Are you experiencing any error on <LINK> <BR> sprintcare Logged into my account and trying to change plans. Keep getting error messages and the site keeps asking me to log back inpages crashing. <BR> sprintcare Also, it just took one of your reps half an hour to explain something that should have been pretty simple. Im a customer since 2000. Feeling pretty annoyedovercharged and seriously considering moving to Google Fi. <BR> Oh, What is the web browser you are currently using? If you would like me to review this on your account, please DM me MP <BR> sprintcare Chrome. <BR> sprintcare Browser is up to date. <BR> Alright. Id like to send a feedback to our IT team amp Id also like to get the chance to take a closer look into your account options. DM me to get started MP <BR>",The customer has a problem with the website. The agent tries to solve the problem but in the end must escalate it to a higher level.
